Organisation_Name,s_city_id,School,Is_the_Support_for_Primary_School_or_AEP_centre_hosted_by_the_school?,e_city_id,Referral_Pathway,Transition_Pathway,s_lat,s_lon,e_lat,e_lon
Norwegian Refugee Council,63,Maabe AEP Centre - Maaji III Primary School,AEP centre,,,,3.335036,31.70155,,
War Child Canada,64,Maaji III ECD Centre,AEP centre,,,,3.232087,31.53682,,
Save the Children International,65,Mahani Primary School,AEP centre,1,Save the children International,,-0.84277,30.78977,3.3884481,31.361842
Save the Children International,66,Mahega Primary School,AEP centre,1,Save the children International,,-0.9395,30.75278,3.3884481,31.361842
Windle International Uganda,67,Malembo Primary School,Primary School,2,Windle International,,0.964503,30.67337,3.39530516,31.34764792
Windle International Uganda,68,Maratatu Primary School,Primary School,2,Windle International,,1.170087,30.77863,3.39530516,31.34764792
Finn Church Aid,69,Mengo Primary School,Primary School,,,,3.388912,31.33012,,
War Child Canada,70,Moroni Primary School,AEP centre,,,,3.409092,31.58463,,
Windle International Uganda,71,Ngurwe Primary School,Primary School,2,Windle International,,1.175488,30.76068,3.39530516,31.34764792
Finn Church Aid,72,Nipata Primary School,AEP centre,,,,3.385635,31.30983,,
Finn Church Aid,72,Nipata Primary School,Primary School,,,,3.385635,31.30983,,
Windle International Uganda,73,Nyamiganda Primary School,Primary School,2,Windle International,,1.134543,30.74092,3.39530516,31.34764792
War Child Canada,74,Nyarugug Primary School,AEP centre,,,,,,,
Norwegian Refugee Council,75,Nyumanzi AEP Centre,AEP centre,,,,3.457819,31.94402,,
APPCO,76,Ofonze Primary School,Primary School,,,,3.453608,31.36683,,
APPCO,77,Ogili Hill Primary School,Primary School,,,,3.367746,32.44124,,
APPCO,78,Okubani Primary School,Primary School,,,,,,,
Street Child + African Women and Youth Action Development (AWYAD),79,Oluba Primary School,Primary School,,,,3.309702,31.25061,,
APPCO,80,Ombechi Primary School,Primary School,,,,3.291542,31.35417,,
Save the Children International,81,Orinya Primary School,AEP centre,1,Save the children International,,3.475668,31.62492,3.3884481,31.361842
War Child Canada,82,Palorinya Primary School,AEP centre,,,,3.097403,31.35061,,
Finn Church Aid,83,Para Primary School,AEP centre,,,,3.405177,31.37442,,
Finn Church Aid,83,Para Primary School,Primary School,,,,3.405177,31.37442,,
Save the Children International,84,Pasu Primary School,AEP centre,1,Save the children International,Pasu Primary,3.149483,31.24836,3.3884481,31.361842
AVSI + Luigi Institute of Higher Education,85,Progressive Primary School,Primary School,,,,3.109412,32.5306,,
Finn Church Aid,86,Rock City Primary School,Primary School,,,,3.392468,31.33868,,
Save the Children International,87,Romogi Primary School,AEP centre,1,Save the children International,Romogi Primary,3.165987,31.21375,3.3884481,31.361842
Save the Children International,88,Rwamwanja Primary School,AEP centre,1,Save the children International,,-0.83551,30.85725,3.3884481,31.361842
Windle International Uganda,89,Rwenyawawa Primary School,Primary School,2,Windle International,,1.18018,30.77316,3.39530516,31.34764792
Finn Church Aid,90,Salam Primary School,Primary School,,,,3.405745,31.34998,,
Plan International Uganda,91,St John Paul II Oriajini primary School,Primary School,,,,3.098268,30.96983,,
Finn Church Aid,92,St kizito,Primary School,,,,3.182969,31.16059,,
Finn Church Aid,93,St. Mary's Ocia Primary School,AEP centre,,,,3.38742,31.56715,,
War Child Canada,94,Tandala AEP Centre Pagirinya,AEP centre,,,,3.377168,31.93042,,
ZOA + Palm Corps,95,Tika Primary School,Primary School,,,,3.103227,31.39923,,
APPCO,96,Unity Nursery and Primary School,Primary School,,,,3.36377,32.43644,,
Norwegian Refugee Council,97,Vurra Bileafe Primary School,AEP centre,,,,3.475668,31.62492,,
Save the Children International,98,Waka Primary School,AEP centre,1,Save the children International,,3.497401,31.67019,3.3884481,31.361842
Norwegian Refugee Council,99,Wanguru Primary School,AEP centre,,,,3.412344,31.58498,,
ZOA + Palm Corps,99,Wanguru Primary School,Primary School,,,,3.475668,31.62492,,
ZOA + Palm Corps,99,Wanguru Primary School,Primary School,,,,3.149483,31.24836,,
Norwegian Refugee Council,100,Wanyange Primary School,AEP centre,,,,3.38742,31.56715,,
AVSI + Luigi Institute of Higher Education,101,World View Nursery and Primary School,Primary School,,,,3.367746,32.44124,,
ZOA + Palm Corps,102,Yacha Community Primary School,Primary School,,,,3.249317,31.19443,,
APPCO,103,Yangani Primary School,Primary School,,,,3.326658,31.30542,,
ZOA + Palm Corps,104,Yelulu Primary School,Primary School,,,,3.165263,31.34576,,
Finn Church Aid,105,Yoyo Central Primary School,AEP centre,,,,3.386982,31.3804,,
Finn Church Aid,105,Yoyo Central Primary School,Primary School,,,,3.386982,31.3804,,
Finn Church Aid,106,Yoyo Primary School,Primary School,,,,3.38781,31.36342,,
Norwegian Refugee Council,107,Zoka Central Primary School,AEP centre,,,,3.232087,31.53682,,
War Child Canada,108,Zoka South Primary School,AEP centre,,,,3.335036,31.70155,,
