OBJECTID,ID,SCODE2014,SNAME2014,Subcounty_2014,Urban_Status_2014,Municipality_Name,CONST_CODE,CONSTITUENCY,CCODE2014,CNAME2014,DCODE2014,DNAME2014,DNAME2016,Households_2014,Population_2014,Male_2014,Female_2014,Area_GIS_km2,Population_Density_2014,Attending_School_6_to_12yr_2014,Not_attending_School_6_to_12yr_2014,Never_been_to_School_15plus_2014,Attended_Primary_15plus_2014,Attended_Secondary_and_above_15plus_2014,Literate_18plus_2014,Not_Literate_18plus_2014,HH_Subsistence_Farming_2014,HH_non_Subsistence_Farming_2014,HH_own_Radio_2014,HH_own_Bicycle_2014,HH_own_Motorcycle_2014,HH_own_Moquito_Net_2014,HH_own_two_sets_Clothing_2014,HH_Salt_available_2014,HH_at_least_two_Meals_a_Day_2014,HH_Wall_temporary_2014,HH_Wall_permanent_2014,HH_Roof_temporary_2014,HH_Roof_permanent_2014,HH_Floor_temporary_2014,HH_Floor_permanent_2014,HH_Unprotected_Drinking_Water_2014,HH_Protected_Drinking_Water_2014,HH_Improved_Toilet_2014,HH_Unimproved_Toilet_2014,HH_No_Toilet_2014,HH_Lighting_Electricity_2014,HH_Lighting_Electricity_2014_percent,HH_Lighting_Paraffin_Lantern_2014,HH_Lighting_Paraffin_Tadooba_2014,HH_Lighting_Other_2014,Shape_Length,Shape_Area
289,789,415113,KYENJOJO TOWN COUNCIL,Kyenjojo Town Council,Town Council,,57,MWENGE COUNTY SOUTH,4151,MWENGE,415,KYENJOJO,KYENJOJO,5701,22960,11324,11636,96.75145295,237.3090977,3962,370,1544,6313,5058,9127,2150,2526,3175,3857,1189,480,5275,5354,5524,5275,2861,2840,239,5462,3006,2695,2461,3240,1141,4460,100,1833,32.15225399,663,2655,550,46959.42311,96750288.29
290,790,415114,NYABUHARWA,Nyabuharwa,,,57,MWENGE COUNTY SOUTH,4151,MWENGE,415,KYENJOJO,KYENJOJO,5343,24730,12470,12260,118.3368924,208.9796301,4845,552,2164,7540,2646,7578,3095,4069,1274,3772,1305,522,5139,4891,5177,5027,4444,899,757,4586,4689,654,3134,2209,516,4691,136,568,10.6307318,307,3740,728,65482.6158,118338149.5
291,791,415115,NYANKWANZI,Nyankwanzi,,,56,MWENGE COUNTY NORTH,4151,MWENGE,415,KYENJOJO,KYENJOJO,5651,27320,13287,14033,116.6394718,234.2260264,1349,5043,809,2742,7933,13129,3913,4739,912,2635,637,372,5327,4238,5033,5223,4767,884,908,4743,5068,583,2237,3414,741,4679,231,592,10.47602194,362,3352,1345,68678.06782,116637410.7
292,787,415111,KYARUSOZI,Kyarusozi,,,56,MWENGE COUNTY NORTH,4151,MWENGE,415,KYENJOJO,KYENJOJO,12039,57662,28596,29066,302.2145092,190.7982517,9401,3026,7841,16045,4171,15249,9335,9537,2502,6027,1601,810,11258,9922,11214,11049,10061,1978,1964,10075,10974,1065,8273,3766,2544,9206,289,907,7.533848326,855,7393,2884,136897.1812,302213742.1
293,792,415116,NYANTUNGO,Nyantungo,,,57,MWENGE COUNTY SOUTH,4151,MWENGE,415,KYENJOJO,KYENJOJO,4810,24213,12265,11948,163.8175645,147.8046635,4497,576,1953,7464,2850,7933,2618,3882,928,3303,1282,509,4557,4166,4579,4572,4136,674,447,4363,4231,579,2589,2221,422,4143,245,512,10.64449064,278,3570,450,75078.26862,163818621.1
294,784,415108,KIGARAALE,Kigaraale,,,57,MWENGE COUNTY SOUTH,4151,MWENGE,415,KYENJOJO,KYENJOJO,4980,23964,11886,12078,143.3601196,167.1594588,4327,746,2601,7287,1718,6399,3676,4589,391,2823,1190,346,4795,4468,4813,4716,4544,436,1085,3895,4634,346,3702,1278,528,4332,120,431,8.654618474,223,3565,761,58890.1842,143360952.8
295,781,415105,BUTUNDUZI TOWN COUNCIL,Butunduzi Town Council,Town Council,,57,MWENGE COUNTY SOUTH,4151,MWENGE,415,KYENJOJO,KYENJOJO,3079,14111,6895,7216,69.80039124,202.1621906,2534,488,1668,4049,1226,3886,2206,2400,679,1928,731,207,2900,2722,3007,2847,2543,536,230,2849,2558,521,1542,1537,301,2712,66,366,11.88697629,107,1965,641,41305.64815,69800999.89
296,782,415106,KATOOKE,Katooke,,,56,MWENGE COUNTY NORTH,4151,MWENGE,415,KYENJOJO,KYENJOJO,7319,35277,17408,17869,206.2588952,171.0326237,6267,1301,3934,10194,3054,9733,5077,5614,1705,4090,1453,630,6796,5795,6749,6605,6149,1170,1018,6301,6474,845,3645,3674,1470,5554,295,529,7.227763356,305,5576,909,84071.55727,206261027.5
297,793,326101,AGORO,Agoro,,,92,LAMWO COUNTY,3261,LAMWO,326,LAMWO,LAMWO,3582,18475,8845,9630,627.8830791,29.42426801,3203,1113,2538,4267,1738,3853,3515,3171,411,1080,1635,124,3215,2292,2688,2831,3311,271,3274,308,3441,141,1545,2037,1219,634,1729,141,3.936348409,407,1445,1589,107133.6502,627892230.8
298,796,326104,MADI OPEI,Madi Opei,,,92,LAMWO COUNTY,3261,LAMWO,326,LAMWO,LAMWO,2472,11842,5740,6102,819.4504111,14.45114901,2241,572,1354,3064,1398,3056,1940,2123,349,705,1029,124,2330,2450,2709,2770,2324,148,2317,155,2364,108,104,2368,721,580,1171,53,2.144012945,49,1571,799,127459.6747,819462155.5
299,799,326105,PADIBE  WEST,Padibe West,,,92,LAMWO COUNTY,3261,LAMWO,326,LAMWO,LAMWO,2474,12419,5844,6575,185.2330009,67.04528858,2655,320,1095,3376,1543,2997,2072,2256,218,813,1301,174,2284,3177,3461,3449,2284,190,2305,169,2411,63,254,2220,362,1094,1018,75,3.03152789,842,362,1195,89876.93004,185238053.1
300,797,326107,PADIBE EAST,Padibe East,,,92,LAMWO COUNTY,3261,LAMWO,326,LAMWO,LAMWO,1803,9244,4468,4776,63.40236158,145.7989856,1839,316,913,2396,1178,2104,1718,1715,88,582,994,91,1680,3582,3949,3950,1619,184,1303,500,1765,38,254,1549,159,794,850,38,2.107598447,231,614,920,46245.63974,63403253.8
301,798,326111,PADIBE TOWN COUNCIL,Padibe Town Council,Town Council,,92,LAMWO COUNTY,3261,LAMWO,326,LAMWO,LAMWO,2052,9752,4646,5106,226.9782223,42.9644743,2021,256,877,2030,2006,2830,1284,1692,360,909,1167,214,1956,2141,2338,2348,1269,783,1434,618,1750,302,54,1998,698,873,481,159,7.748538012,789,624,480,83105.76943,226981403.9
302,802,326109,PALABEK- OGILI,Palabek Ogili,,,92,LAMWO COUNTY,3261,LAMWO,326,LAMWO,LAMWO,1925,9491,4700,4791,774.2993038,12.25753395,1745,365,876,2772,1082,2606,1479,1758,167,649,897,146,1797,2036,2316,2400,1751,174,1780,145,1874,51,720,1205,299,497,1129,48,2.493506494,282,363,1232,153647.6054,774310009.2
303,800,326103,PALABEK-GEM,Palabek Gem,,,92,LAMWO COUNTY,3261,LAMWO,326,LAMWO,LAMWO,3092,15078,7349,7729,1190.195744,12.66850438,3069,418,1307,4049,2067,4093,2260,2746,346,1033,1400,147,2938,3539,3898,3897,2825,267,2788,304,2978,114,695,2397,815,1283,994,193,6.241914618,437,1338,1124,171924.2106,1190209164
304,801,326108,PALABEK KAL,Palabek Kal,,,92,LAMWO COUNTY,3261,LAMWO,326,LAMWO,LAMWO,2964,14447,7054,7393,567.6173788,25.45200436,2819,555,1293,3845,2130,4040,2158,2587,377,1146,1398,221,2829,2869,3008,3016,2461,503,2553,411,2749,215,1018,1946,621,1449,894,138,4.655870445,362,1584,880,148580.3914,567625439.6
305,804,307101,ADEKOKWOK,Adekokwok,,,101,ERUTE COUNTY SOUTH,3071,ERUTE,307,LIRA,LIRA,8112,39957,19237,20720,92.62500344,431.3845994,6711,1372,3177,10607,7634,12879,5407,5537,2575,5444,4939,1029,7872,7292,7322,7305,4112,4000,2455,5657,4711,3401,1131,6981,2336,5254,522,1050,12.94378698,1578,4420,1064,54924.09998,92626093.99
