OBJECTID,ID,SCODE2014,SNAME2014,Subcounty_2014,Urban_Status_2014,Municipality_Name,CONST_CODE,CONSTITUENCY,CCODE2014,CNAME2014,DCODE2014,DNAME2014,DNAME2016,Households_2014,Population_2014,Male_2014,Female_2014,Area_GIS_km2,Population_Density_2014,Attending_School_6_to_12yr_2014,Not_attending_School_6_to_12yr_2014,Never_been_to_School_15plus_2014,Attended_Primary_15plus_2014,Attended_Secondary_and_above_15plus_2014,Literate_18plus_2014,Not_Literate_18plus_2014,HH_Subsistence_Farming_2014,HH_non_Subsistence_Farming_2014,HH_own_Radio_2014,HH_own_Bicycle_2014,HH_own_Motorcycle_2014,HH_own_Moquito_Net_2014,HH_own_two_sets_Clothing_2014,HH_Salt_available_2014,HH_at_least_two_Meals_a_Day_2014,HH_Wall_temporary_2014,HH_Wall_permanent_2014,HH_Roof_temporary_2014,HH_Roof_permanent_2014,HH_Floor_temporary_2014,HH_Floor_permanent_2014,HH_Unprotected_Drinking_Water_2014,HH_Protected_Drinking_Water_2014,HH_Improved_Toilet_2014,HH_Unimproved_Toilet_2014,HH_No_Toilet_2014,HH_Lighting_Electricity_2014,HH_Lighting_Electricity_2014_percent,HH_Lighting_Paraffin_Lantern_2014,HH_Lighting_Paraffin_Tadooba_2014,HH_Lighting_Other_2014,Shape_Length,Shape_Area
1,517,205108,NAMWENDWA,Namwendwa,,,71,BUGABULA COUNTY SOUTH,2051,BUGABULA,205,KAMULI,KAMULI,11293,57606,27909,29697,149.2138945,386.0632429,12127,1189,4736,14366,8340,14933,8400,9269,2024,6712,6103,1241,10759,9792,10867,10588,1905,9388,530,10763,7792,3501,1175,10118,2690,7744,859,945,8.368015585,559,8351,1438,58591.87729,149215190.6
2,511,205104,KAMULI TOWN COUNCIL,Kamuli (Northern + Southern Division),Municipality,Kamuli,70,BUGABULA COUNTY NORTH,2051,BUGABULA,205,KAMULI,KAMULI,13152,58984,28049,30935,3.586415094,16446.50674,11204,794,3109,12020,15580,21272,5236,6930,6222,8556,5357,1565,12393,12439,12653,12064,1672,11480,264,12888,5191,7961,535,12617,3565,9366,221,3535,26.87804136,1339,6679,1599,7840.775803,3586449.333
3,514,205203,MBULAMUTI,Mbulamuti,,,73,BUZAAYA COUNTY,2052,BUZAAYA,205,KAMULI,KAMULI,5527,29507,14249,15258,94.96882832,310.7019485,6823,284,1852,7614,4462,8100,3601,4709,818,3375,3002,528,5297,4993,5368,5163,1592,3935,674,4853,4080,1447,258,5269,1541,3812,174,401,7.255292202,301,4143,682,60413.75708,94969720.98
4,508,205201,BUGULUMBYA,Bugulumbya,,,73,BUZAAYA COUNTY,2052,BUZAAYA,205,KAMULI,KAMULI,6958,36281,17603,18678,80.47081656,450.8591008,8221,487,2187,8759,6336,10569,3916,5746,1212,4349,3408,699,6712,5976,6577,6462,802,6156,171,6787,4795,2163,146,6812,1483,5322,153,606,8.709399253,365,5620,367,46710.31405,80471592.94
5,516,205107,NAMASAGALI,Namasagali,,,70,BUGABULA COUNTY NORTH,2051,BUGABULA,205,KAMULI,KAMULI,6935,37563,18653,18910,217.1102366,173.0134911,8013,912,3296,9647,3986,8909,5566,5853,1082,4102,4104,571,6662,5442,6380,6573,2737,4198,1729,5206,5539,1396,963,5972,1144,5215,576,462,6.66186013,210,5388,875,66985.06946,217112334.9
6,515,205106,NABWIGULU,Nabwigulu,,,70,BUGABULA COUNTY NORTH,2051,BUGABULA,205,KAMULI,KAMULI,4291,21987,10700,11287,135.4777517,162.2923302,4679,488,1386,5901,3070,6045,2805,3420,871,2578,2424,498,4082,3898,4108,4021,929,3362,401,3890,3227,1064,138,4153,919,3214,158,301,7.014681892,258,3359,373,71027.48718,135479053.6
7,512,205202,KISOZI,Kisozi,,,73,BUZAAYA COUNTY,2052,BUZAAYA,205,KAMULI,KAMULI,8980,47700,23204,24496,122.235336,390.2308577,10431,878,3288,11758,7442,12952,5799,7142,1838,5527,4664,1053,8649,7808,8482,8264,2123,6857,217,8763,6611,2369,743,8237,2054,6667,259,696,7.750556793,443,6969,872,59582.47743,122236380
8,507,205101,BALAWOLI,Balawoli,,,70,BUGABULA COUNTY NORTH,2051,BUGABULA,205,KAMULI,KAMULI,10115,54298,26768,27530,358.1527396,151.6057089,11249,1536,4758,13661,6053,11864,9098,8161,1954,6232,5932,1006,9701,7801,9576,9679,4007,6108,3267,6848,8206,1909,1741,8374,1475,7255,1385,578,5.714285714,671,7041,1825,86546.01084,358156270.4
9,519,205205,WANKOLE,Wankole,,,73,BUZAAYA COUNTY,2052,BUZAAYA,205,KAMULI,KAMULI,3793,19988,9685,10303,51.4853103,388.2272416,4474,319,1271,4977,3266,5357,2664,3169,624,2389,1987,379,3656,3102,3499,3571,761,3032,182,3611,2714,1079,95,3698,865,2795,133,256,6.74927498,246,2915,376,37892.7975,51485784.99
10,510,205103,BUTANSI,Butansi,,,71,BUGABULA COUNTY SOUTH,2051,BUGABULA,205,KAMULI,KAMULI,5509,29570,14457,15113,99.03909032,298.5689782,6743,417,2259,7442,3962,7766,3760,4796,713,3474,3325,536,5288,4789,5191,5150,1022,4487,391,5118,4023,1486,150,5359,1257,4021,231,349,6.335088038,155,4422,583,61878.40896,99039972.51
11,513,205105,KITAYUNJWA,Kitayunjwa,,,71,BUGABULA COUNTY SOUTH,2051,BUGABULA,205,KAMULI,KAMULI,8047,40087,19461,20626,134.4086172,298.2472466,8777,726,3138,9537,6445,11090,5141,6831,1216,4986,3970,974,7713,6986,7583,7357,1324,6723,247,7800,5546,2501,671,7376,2202,5540,305,730,9.071703741,551,5581,1185,66032.54063,134409888.3
12,509,205102,BULOPA,Bulopa,,,71,BUGABULA COUNTY SOUTH,2051,BUGABULA,205,KAMULI,KAMULI,4568,28909,14399,14510,47.02362363,614.7761012,6178,504,1663,6730,5178,8461,2967,4000,568,3132,2713,680,4437,3831,4415,4211,746,3822,196,4372,3297,1271,568,4000,1229,3176,163,425,9.30385289,146,3682,315,34318.0248,47024075.52
13,518,205204,NAWANYAGO,Nawanyago,,,73,BUZAAYA COUNTY,2052,BUZAAYA,205,KAMULI,KAMULI,4666,23839,11252,12587,62.9205252,378.8747777,5095,248,1513,5508,5125,7438,2719,3657,1009,2978,2022,500,4468,4374,4484,4279,696,3970,181,4485,2649,2017,72,4594,1760,2819,87,735,15.75225032,410,3157,364,36820.01934,62921104.05
14,719,319102,DRANYA,Dranya,,,8,KOBOKO COUNTY,3191,KOBOKO,319,KOBOKO,KOBOKO,1987,12872,6338,6534,48.15119545,267.3246194,2435,498,1188,3960,1234,3399,2112,1837,150,1105,833,177,1960,1828,1869,1875,1360,627,1761,226,1854,133,332,1655,104,1724,159,168,8.454957222,211,968,640,35395.77972,48152509.13
15,723,319106,LUDARA,Ludara,,,8,KOBOKO COUNTY,3191,KOBOKO,319,KOBOKO,KOBOKO,4404,31656,16024,15632,268.3197859,117.9786272,5365,1594,3924,8756,2626,6964,6250,4195,209,2256,2293,591,4329,3388,4063,4221,3062,1342,3990,414,4255,149,2158,2246,1270,2771,363,327,7.42506812,576,860,2641,101715.9202,268313458.2
16,718,319101,ABUKU,Abuku,,,8,KOBOKO COUNTY,3191,KOBOKO,319,KOBOKO,KOBOKO,1823,14555,7206,7349,51.80285061,280.9690939,2825,610,1678,3852,1375,3362,2555,1702,121,971,950,205,1791,1497,1726,1771,1246,577,1666,157,1756,67,352,1471,585,874,364,127,6.966538673,150,501,1045,35711.9467,51803328.45
17,720,319103,KOBOKO TOWN COUNCIL,Koboko (Northern + Southern + Western Division),Municipality,Koboko,8,KOBOKO COUNTY,3191,KOBOKO,319,KOBOKO,KOBOKO,8031,51379,24661,26718,8.406975393,6111.472628,10203,1293,4371,11054,10181,15495,5663,2114,5917,5151,2328,1435,7674,7335,7428,7576,4811,3220,4911,3120,4959,3072,682,7349,1882,6013,136,2103,26.18602914,1869,1271,2788,12984.62606,8407091.693
18,721,319104,KULUBA,Kuluba,,,8,KOBOKO COUNTY,3191,KOBOKO,319,KOBOKO,KOBOKO,5983,40481,20671,19810,231.078346,175.1830091,6839,1847,3459,13425,3470,10707,7098,5340,643,2919,2672,714,5789,5180,5671,5683,4761,1222,5328,655,5669,314,3837,2146,1124,4114,745,427,7.136887849,547,920,4089,90530.39244,231081732.4
19,722,319105,LOBULE,Lobule,,,8,KOBOKO COUNTY,3191,KOBOKO,319,KOBOKO,KOBOKO,4966,33679,16569,17110,99.85159953,337.2905407,6809,1288,4098,8823,2860,7477,6042,4242,724,1995,1488,417,4848,3570,4290,4510,3571,1395,4349,617,4815,151,1519,3447,748,3716,502,290,5.839710028,407,1807,2462,52394.9686,99852802.31
20,728,325104,AYER,Ayer,,,1,KOLE COUNTY,3251,KOLE,325,KOLE,KOLE,7097,35513,17477,18036,160.1252362,221.7826549,6412,1612,2399,12070,3766,10891,4507,6543,554,4192,4663,499,6871,6079,6581,6410,5554,1543,5205,1892,6250,847,1429,5668,971,5253,873,417,5.875722136,1674,3559,1447,93981.56262,160126766.4
21,726,325102,AKALO,Akalo,,,1,KOLE COUNTY,3251,KOLE,325,KOLE,KOLE,5702,28887,14066,14821,133.1236495,216.9937507,5586,830,2186,9074,3564,9215,3313,5111,591,3598,3695,446,5488,4793,5338,5394,4354,1348,3665,2037,4839,863,1560,4142,718,4463,521,328,5.75236759,1252,3317,805,55323.48321,133125113.1
22,731,325107,OKWERODOT,Okwerodot,,,1,KOLE COUNTY,3251,KOLE,325,KOLE,KOLE,6947,34434,16902,17532,148.6546908,231.6374937,5889,1852,3014,11041,2681,9117,5120,6469,478,3756,4296,435,6712,6218,6621,5641,5583,1364,5298,1649,6278,669,2379,4568,881,4914,1152,408,5.873038722,1474,3686,1379,60824.4655,148656493.5
23,727,325103,ALITO,Alito,,,1,KOLE COUNTY,3251,KOLE,325,KOLE,KOLE,7885,39282,19340,19942,158.6346743,247.6255597,6949,1833,2847,12905,3420,11233,5056,7395,490,4519,4720,617,7661,6940,7451,6866,6382,1503,5671,2214,7285,600,2606,5279,736,6092,1057,455,5.770450222,1004,3707,2719,80931.08913,158636629.9
24,730,325106,KOLE TOWN COUNCIL,Kole Town Council,Town Council,,1,KOLE COUNTY,3251,KOLE,325,KOLE,KOLE,1855,8860,4349,4511,40.99182662,216.1406488,1650,256,601,2736,1309,3039,979,1600,255,1137,1188,117,1805,1682,1778,1713,1417,438,1289,566,1601,254,294,1561,257,1387,211,243,13.09973046,130,1018,464,34731.81196,40992313.01
25,725,325101,ABOKE,Aboke,,,1,KOLE COUNTY,3251,KOLE,325,KOLE,KOLE,9760,46611,22698,23913,203.4782229,229.0711966,8717,1574,3536,14892,5490,14101,6292,8593,1167,5827,6018,720,9460,8687,9220,8717,7652,2108,6436,3324,8447,1313,4295,5465,1292,7316,1152,570,5.840163934,2215,5186,1789,73182.39074,203481065.3
26,890,105101,BUKAKATA,Bukakata,,,114,BUKOTO COUNTY EAST,1051,BUKOTO,105,MASAKA,MASAKA,5414,17743,9424,8319,406.9514552,43.59979495,2889,209,1419,5783,2379,6441,2282,2369,3045,3297,1297,489,4696,4970,5082,4568,3470,1944,494,4920,3770,1644,3675,1739,720,3928,766,931,17.19615811,698,2921,864,84526.77746,406954377.5
27,891,105102,BUWUNGA,Buwunga,,,114,BUKOTO COUNTY EAST,1051,BUKOTO,105,MASAKA,MASAKA,9925,42218,21079,21139,376.8448847,112.0301793,9249,357,1772,12761,6543,15378,2988,6973,2952,7521,3738,1379,9296,9290,9468,8779,1675,8250,316,9609,5701,4224,3077,6848,2815,6631,479,1274,12.83627204,1310,6838,503,94059.93663,376847826.8
28,892,105103,KABONERA,Kabonera,,,116,BUKOTO COUNTY CENTRAL,1051,BUKOTO,105,MASAKA,MASAKA,7672,33003,15903,17100,99.32216814,332.2823154,7285,250,1298,8203,6747,12011,1968,4759,2913,5609,2484,981,7033,7263,7238,6849,895,6777,38,7634,2804,4868,3094,4578,2510,5018,144,2198,28.64963504,1035,4155,284,51477.96227,99320726.98
29,897,105106,MUKUNGWE,Mukungwe,,,114,BUKOTO COUNTY EAST,1051,BUKOTO,105,MASAKA,MASAKA,10401,44460,21539,22921,133.8443741,332.1768307,8932,529,1752,10962,9586,16707,2687,5689,4712,7914,3153,1432,9402,9932,10147,9240,1285,9116,133,10268,3123,7278,3208,7193,3821,6431,149,2991,28.7568503,2121,4453,836,67575.93149,133845323
30,899,409101,BUDONGO,Budongo,,,122,BUJENJE COUNTY,4091,BUJENJE,409,MASINDI,MASINDI,11849,51935,26327,25608,1355.269236,38.32079902,9174,1710,4291,15412,7000,14665,8772,7534,4315,5751,3626,952,10599,10992,11423,11143,7118,4731,5539,6310,8054,3795,2969,8880,2626,8772,451,1690,14.26280699,2085,6373,1701,306575.7117,1355284958
31,907,409203,PAKANYI,Pakanyi,,,124,BURULI COUNTY,4092,BURUULI,409,MASINDI,MASINDI,12446,58402,29194,29208,695.1809313,84.00978417,10202,2349,6336,16590,6281,14072,11330,11038,1408,6457,4187,1045,11494,11330,11970,11968,8867,3579,7785,4661,10366,2080,2146,10300,2449,8783,1214,1279,10.27639402,800,8953,1414,132923.4948,695188671.2
32,901,409304,CENTRAL DIVISION,Masindi Central Division,Municipality,Masindi,230,MASINDI MUNICIPALITY,4093,MASINDI MUNICIPALITY,409,MASINDI,MASINDI,10289,40826,19566,21260,24.13271448,1691.728464,6554,259,1490,6514,13994,16815,2439,2377,7912,5587,2006,1190,9270,10192,10000,9928,572,9717,110,10179,1068,9221,448,9841,3178,7082,29,5558,54.01885509,1827,2049,855,24056.15529,24132974.73
33,903,409301,KIGULYA DIVISION,Masindi Kigulya Division,Municipality,Masindi,230,MASINDI MUNICIPALITY,4093,MASINDI MUNICIPALITY,409,MASINDI,MASINDI,2746,12747,6398,6349,68.84920633,185.1437465,2393,201,722,3876,2030,4155,1687,2238,508,1975,1407,455,2594,2607,2668,2582,1272,1474,754,1992,1979,767,734,2012,690,1952,104,438,15.95047342,288,1857,163,41926.44001,68849950.46
34,906,409303,NYANGAHYA DIVISION,Masindi Nyangahya Division,Municipality,Masindi,230,MASINDI MUNICIPALITY,4093,MASINDI MUNICIPALITY,409,MASINDI,MASINDI,3010,13041,6668,6373,67.27853529,193.8359678,2500,104,594,3928,2528,4782,1436,2270,740,2107,1092,356,2861,2876,2858,2830,910,2100,368,2642,1674,1336,606,2404,939,1961,110,553,18.37209302,360,1930,167,42870.36258,67279255.62
35,900,409102,BWIJANGA,Bwijanga,,,122,BUJENJE COUNTY,4091,BUJENJE,409,MASINDI,MASINDI,11698,52084,26646,25438,507.6819962,102.5917807,9607,873,2947,16295,8239,17399,6608,8904,2794,6994,4205,1248,11116,11009,11485,11154,5363,6335,2978,8720,8298,3400,2280,9418,2554,8808,336,2048,17.5072662,930,7555,1165,121178.2671,507687340.2
36,904,409201,KIMENGO,Kimengo,,,124,BURULI COUNTY,4092,BURUULI,409,MASINDI,MASINDI,2947,14008,7671,6337,812.6321036,17.23781271,2197,281,2231,3550,1710,3838,2826,1912,1035,1553,908,297,2640,2621,2810,2500,1839,1108,1344,1603,2147,800,1371,1576,333,2024,590,378,12.82660333,166,1205,1198,188996.6311,812640613.5
37,905,409202,MIIRYA,Miirya,,,124,BURULI COUNTY,4092,BURUULI,409,MASINDI,MASINDI,4516,20246,10679,9567,314.9875105,64.27556435,3360,770,2345,5864,2502,5602,3780,3571,945,2145,1344,470,4050,4348,4389,4332,2868,1648,2439,2077,3742,774,417,4099,781,3099,636,654,14.48184234,186,3016,660,94808.97533,314990899.6
38,902,409302,KARUJUBU DIVISION,Masindi Karujubu Division,Municipality,Masindi,230,MASINDI MUNICIPALITY,4093,MASINDI MUNICIPALITY,409,MASINDI,MASINDI,5428,27824,14972,12852,74.82094152,371.8744971,4163,585,1499,6839,3995,7467,3287,3574,1854,2724,1572,522,5063,5044,5201,5049,2495,2933,1392,4036,3868,1560,849,4579,1487,3768,173,769,14.16728077,514,3750,395,52226.25062,74821751.28
39,908,214101,BAITAMBOGWE,Baitambogwe,,,36,BUNYA COUNTY WEST,2141,BUNYA,214,MAYUGE,MAYUGE,7814,37949,18189,19760,83.25611263,455.810376,7457,682,2930,8895,8080,12352,4635,5409,2405,5190,2717,540,6409,7096,7532,7332,1502,6312,300,7514,4328,3486,640,7174,2038,5646,130,1213,15.5234195,672,5264,665,52275.80348,83258735.84
40,909,214102,BUKABOOLI,Bukabooli,,,34,BUNYA COUNTY EAST,2141,BUNYA,214,MAYUGE,MAYUGE,8386,43263,21171,22092,172.5950626,250.6618633,9497,1369,4077,11676,3612,8962,7535,7678,708,5055,4080,457,7186,7179,8226,8108,4408,3978,2744,5642,6861,1525,4593,3793,1524,6277,585,538,6.415454329,319,6863,666,80816.00375,172587831.9
41,910,214103,BUKATUBE,Bukatube,,,36,BUNYA COUNTY WEST,2141,BUNYA,214,MAYUGE,MAYUGE,7991,40098,19497,20601,243.0396702,164.9854115,7908,1387,4176,10615,4505,9646,7038,6010,1981,4698,3615,496,6142,6777,7408,7565,4303,3688,2168,5823,6477,1514,1985,6006,1094,5677,1220,611,7.646101865,204,6261,915,67412.71829,242995621.8
42,911,214104,BUSAKIRA,Busakira,,,35,BUNYA COUNTY SOUTH,2141,BUNYA,214,MAYUGE,MAYUGE,5357,29097,14196,14901,63.09328356,461.1742861,6290,741,2577,7105,4047,7359,4111,4716,641,3349,2544,374,4571,4255,4894,5029,1728,3629,817,4540,4378,979,944,4413,870,4266,221,360,6.720179205,247,4007,743,41054.40896,63093827.02
43,913,214106,IMANYIRO,Imanyiro,,,36,BUNYA COUNTY WEST,2141,BUNYA,214,MAYUGE,MAYUGE,5688,31362,15279,16083,89.45225198,350.6004523,6538,725,2779,7471,4842,8532,4319,4598,1090,3898,2435,397,4943,4982,5377,5391,1917,3771,518,5170,3819,1869,1273,4415,1141,4425,122,422,7.419127989,592,4184,490,70098.6917,89451139.38
44,914,214107,JAGUZI,Jaguzi,,,35,BUNYA COUNTY SOUTH,2141,BUNYA,214,MAYUGE,MAYUGE,3762,13217,6611,6606,316.5840146,41.74879144,2075,373,1244,4218,1828,4097,2621,1425,2337,2057,590,89,2431,3405,3590,3508,3438,324,1540,2222,3443,319,1134,2628,379,632,2751,272,7.230196704,158,2105,1227,90151.21318,316585841.7
45,915,214108,KIGANDALO,Kigandalo,,,34,BUNYA COUNTY EAST,2141,BUNYA,214,MAYUGE,MAYUGE,5777,31516,15411,16105,98.70872402,319.2828224,6577,951,3522,7482,3410,6679,5420,4956,821,3352,2647,431,4811,4313,5245,5473,2158,3619,1280,4497,4790,987,1291,4486,856,4760,161,297,5.141076683,259,4488,733,59105.52528,98709309.07
46,916,214109,KITYERERA,Kityerera,,,35,BUNYA COUNTY SOUTH,2141,BUNYA,214,MAYUGE,MAYUGE,8522,46149,22392,23757,116.2232041,397.0721712,9619,1096,4744,11475,5248,10064,8282,6146,2376,5023,4269,603,6988,6873,7938,7948,3165,5357,1316,7206,6164,2358,2509,6013,1910,6120,492,746,8.753813659,369,6278,1129,53485.6898,116224192.5
47,917,214110,MALONGO,Malongo,,,35,BUNYA COUNTY SOUTH,2141,BUNYA,214,MAYUGE,MAYUGE,21614,102061,49862,52199,1975.093696,51.67400422,20280,3153,10539,26688,10135,22615,18689,17307,4307,12851,8547,1356,15104,17170,20244,20471,12522,9092,6598,15016,17882,3732,9288,12326,2235,14803,4576,1519,7.027852318,755,15433,3907,327394.3797,1975100988
48,918,214111,MAYUGE TOWN COUNCIL,Mayuge Town Council,Town Council,,36,BUNYA COUNTY WEST,2141,BUNYA,214,MAYUGE,MAYUGE,4131,17392,8059,9333,16.46529641,1056.282229,3413,227,1105,3054,4792,5961,1763,1532,2599,2769,1228,349,3317,3877,3969,3869,400,3731,78,4053,1072,3059,789,3342,1118,2972,41,1012,24.49770031,545,2152,422,25831.87322,16465439.76
49,919,214112,MPUNGWE,Mpungwe,,,34,BUNYA COUNTY EAST,2141,BUNYA,214,MAYUGE,MAYUGE,4809,25642,12022,13620,57.06700943,449.3314133,4908,946,2707,7867,1457,5644,4417,4067,742,3081,2164,370,4040,4384,4627,4584,1553,3256,640,4169,3740,1069,1194,3615,853,3709,247,281,5.843210647,280,3774,474,41789.95807,57067752.3
50,920,214113,WAIRASA,Wairasa,,,36,BUNYA COUNTY WEST,2141,BUNYA,214,MAYUGE,MAYUGE,7684,34221,16267,17954,92.25066693,370.9566677,6625,658,3005,7916,6317,9971,4923,3647,4037,4554,1864,563,5708,6781,7201,7043,2902,4782,595,7089,4354,3330,1663,6021,1475,5624,585,1811,23.56845393,496,4689,688,51450.13256,92251155.56
51,495,222106,NAWAIKOKE,Nawaikoke,,,72,BULAMOGI COUNTY,2221,BULAMOGI,222,KALIRO,KALIRO,11410,63368,31140,32228,268.5730546,235.9432524,13112,1881,6046,16318,6697,13630,11051,10521,889,6536,5745,497,9981,8976,10602,11032,4748,6662,4994,6416,9205,2205,1287,10123,1626,8572,1212,692,6.06485539,438,8640,1640,85395.66391,268576070.5
52,492,222103,KALIRO TOWN COUNCIL,Kaliro Town Council,Town Council,,72,BULAMOGI COUNTY,2221,BULAMOGI,222,KALIRO,KALIRO,3735,16753,8048,8705,24.4619249,684.8602499,2924,263,830,2995,5032,6257,1364,1626,2109,2781,1581,293,3295,3554,3663,3504,306,3429,199,3536,1182,2553,73,3662,1075,2610,50,1130,30.25435074,512,1719,374,20054.08535,24463151.8
53,491,222102,GADUMIRE,Gadumire,,,72,BULAMOGI COUNTY,2221,BULAMOGI,222,KALIRO,KALIRO,6135,34655,17143,17512,158.3978913,218.7844783,7384,853,3500,8974,3172,6731,6710,5544,591,3381,3206,300,5137,5053,5765,5897,2655,3480,2935,3200,5169,966,794,5341,910,4919,306,238,3.879380603,128,4904,865,62072.08584,158399228
54,494,222105,NAMWIWA,Namwiwa,,,72,BULAMOGI COUNTY,2221,BULAMOGI,222,KALIRO,KALIRO,6374,35975,17628,18347,144.5831639,248.8187354,7699,1016,3297,9057,4116,8361,5645,5801,573,3708,3377,238,5756,5204,6105,6127,2490,3884,2458,3916,5063,1311,187,6187,1075,5073,226,337,5.287103859,270,4669,1098,64629.28249,144584573.5
55,493,222104,NAMUGONGO,Namugongo,,,72,BULAMOGI COUNTY,2221,BULAMOGI,222,KALIRO,KALIRO,6415,35147,17480,17667,108.5160421,323.8875961,7341,597,2950,8403,5432,9159,5116,5677,738,3974,3216,467,5414,5534,6093,6044,1502,4913,1312,5103,4556,1859,203,6212,1216,4919,280,457,7.123928293,281,5027,650,69830.51756,108515240.6
56,490,222101,BUMANYA,Bumanya,,,72,BULAMOGI COUNTY,2221,BULAMOGI,222,KALIRO,KALIRO,8897,50301,24530,25771,164.6120227,305.5730631,10734,1200,4469,12987,5929,11733,8158,8207,690,5708,5491,506,7833,7411,8626,8487,2713,6184,2809,6088,7015,1882,212,8685,1322,7063,512,519,5.833426998,198,7324,856,82831.88253,164611195
57,497,122102,KALUNGU,Kalungu,,,118,KALUNGU WEST COUNTY,1221,KALUNGU,122,KALUNGU,KALUNGU,8828,39734,19148,20586,142.980143,277.898729,8391,432,2163,10575,6019,12610,3560,5562,3266,6876,3544,1115,8111,8291,8633,7611,1867,6961,157,8671,4797,4031,3996,4832,2635,6068,125,1188,13.45718169,1330,6004,306,83062.35936,142981516.8
58,498,122103,KALUNGU TOWN COUNCIL,Kalungu Town Council,Town Council,,118,KALUNGU WEST COUNTY,1221,KALUNGU,122,KALUNGU,KALUNGU,1979,8116,4035,4081,25.75407673,315.1345741,1691,77,460,2044,1597,2894,677,1295,684,1554,719,272,1813,1851,1871,1720,354,1625,26,1953,822,1157,568,1411,541,1429,9,586,29.6109146,261,1022,110,21739.51272,25754762.62
59,499,122104,KYAMULIBWA,Kyamulibwa,,,118,KALUNGU WEST COUNTY,1221,KALUNGU,122,KALUNGU,KALUNGU,7194,33080,16275,16805,114.8364234,288.0619148,7307,638,1602,9127,4941,10468,2764,4611,2583,5528,3124,1089,6695,6731,6879,6392,1457,5737,217,6977,4236,2958,2116,5078,1991,5116,87,1248,17.34778982,908,4729,309,50177.854,114837207.7
60,500,122105,LUKAYA TOWN COUNCIL,Lukaya Town Council,Town Council,,117,KALUNGU EAST COUNTY,1221,KALUNGU,122,KALUNGU,KALUNGU,6349,24163,11590,12573,54.77226845,441.1539029,4471,240,972,5473,5950,9080,1649,1764,4585,4367,1804,797,5752,6084,6083,5184,704,5645,59,6290,1425,4924,1433,4916,1736,4566,47,2725,42.9201449,1130,1824,670,35862.82359,54772690.25
61,501,122106,LWABENGE,Lwabenge,,,117,KALUNGU EAST COUNTY,1221,KALUNGU,122,KALUNGU,KALUNGU,7452,34252,17148,17104,246.1419297,139.1554866,7466,477,2786,10087,3511,9717,4257,5974,1478,5444,3930,1009,6979,6172,7098,6478,2778,4674,818,6634,5521,1931,3884,3568,1137,5840,475,943,12.65432099,396,5757,356,79020.26364,246156284.6
62,496,122101,BUKULULA,Bukulula,,,117,KALUNGU EAST COUNTY,1221,KALUNGU,122,KALUNGU,KALUNGU,9692,43887,21483,22404,252.3929945,173.8835901,9645,504,2611,11656,6844,14188,3893,6831,2861,7356,4284,1237,8960,9086,9381,8223,2558,7134,274,9418,5070,4622,3559,6133,2900,6565,227,1525,15.7346265,1247,6478,442,112476.283,252394775.1
63,503,102102,KAWEMPE DIVISION,Kampala Kawempe Division,Municipality,Kampala,62,KAWEMPE DIVISION NORTH,1021,KAMPALA CAPITAL CITY,102,KAMPALA,KAMPALA,94683,338665,158768,179897,30.82262479,10987.54575,44800,2180,7958,47183,156011,178851,11034,1227,93456,57482,6733,7070,82724,92966,89859,80145,4228,90455,103,94580,4853,89830,7600,87083,27003,67232,448,76699,81.00609402,5854,3010,9120,26065.91115,30822884.61
64,506,102105,NAKAWA DIVISION,Kampala Nakawa Division,Municipality,Kampala,68,NAKAWA DIVISION,1021,KAMPALA CAPITAL CITY,102,KAMPALA,KAMPALA,84242,317023,153429,163594,56.69011818,5592.209192,39551,1926,6211,39142,156928,172865,9868,1043,83199,50301,7344,5559,72137,83021,80811,73388,7256,76986,446,83796,4746,79496,4349,79893,29750,54176,316,71039,84.32729517,3677,2645,6881,48779.42783,56690589.66
65,505,102104,MAKINDYE DIVISION,Kampala Makindye Division,Municipality,Kampala,64,MAKINDYE DIVISION EAST,1021,KAMPALA CAPITAL CITY,102,KAMPALA,KAMPALA,108778,393008,186368,206640,55.05262624,7138.769334,51370,3121,10218,55964,185201,212493,13375,1157,107621,67054,6957,7140,91784,107141,104657,92232,6265,102513,691,108087,5506,103272,6688,102090,31885,76156,737,92705,85.22403427,4346,3031,8696,33957.66008,54992005.4
66,502,102101,CENTRAL DIVISION,Kampala Central Division,Municipality,Kampala,61,KAMPALA CENTRAL DIVISION,1021,KAMPALA CAPITAL CITY,102,KAMPALA,KAMPALA,23322,75168,37435,37733,15.15330538,4960.50189,8474,939,3209,11904,37828,44956,3211,164,23158,11893,1583,1488,19067,22973,22264,20632,2187,21135,58,23264,1518,21804,860,22462,7684,15563,75,20249,86.82360003,604,535,1934,21311.20143,15153434.3
67,504,102103,LUBAGA DIVISION,Kampala Lubaga Division,Municipality,Kampala,66,LUBAGA DIVISION NORTH,1021,KAMPALA CAPITAL CITY,102,KAMPALA,KAMPALA,105778,383215,176762,206454,37.48011918,10224.48723,50625,2460,9511,54514,175771,204273,11117,1170,104608,66853,5783,7503,91691,104521,103147,90475,1930,103848,72,105706,3448,102330,5211,100567,28033,77639,106,90382,85.44498856,4998,2353,8045,27910.78097,37480459.1
